*	..	1.	2.	3.	4.	5.	6.	7.	8.	9.	10.	11.	12.	13.	14.	15.	16.	17.	18.	19.	20.	21.	22.	23.	24.	25.	26.	::.
*	$	@	%	^	&	~	!	#	=	+	-	`	,	;	@@	%%	^^	&&	~~	!!	##	==	++	--	()	{}	[]	$$
..	core	tube	hash	case	clock	load																	passphrase	library	theme	tag	link	cast
1.	key	pipe	transcript	default	prototype	poll																	toll	template	plug	page	book	scale
2.	new	instrument	encode	basic	absolute	icon																	pulse	arbitrary	over	association	subject	group
3.	date	device	algorithm	tile	abstract	entry																	belt	quality	edge	specimen	content	note
4.	digit	name	request	category	radio	coin																	check	profile	side	sample	chapter	binary
5.	number	type	message	identity	equation	serial																	policy	power	item	product	article	list
6.	character	head	keyword	generic	solid	asset																	stamp	random	border	catalogue	section	dictionary
7.	text	count	namespace	common	fork	channel																	host	report	join	optimisation	index	level
8.	bit	read	thread	slash	platform	lap																	money	diary	span	roll	record	folder
9.	byte	memory	service	crop	contact	local																	draft	verbose	wall	chain	gallery	object
10.	symbol	source	option	slab	extension	track																	debit	mirror	panel	specification	definition	file
11.	sound	sector	version	compound	light	ticket																	certificate	hook	corner	logarithm	bracket	document
12.	image	syntax	batch	ratio	shift	security																	foo	slot	large	badge	grammar	tree
13.	live	cell	original	active	engine	direct																	assign	routine	front	customisation	matter	portable
14.	session	wrapper	main	passive	machine	indirect																	pass	schedule	back	attachment	theorem	dimension
15.	video	macro	branch	percentage	position	permission																	bar	card	top	subscription	formula	graph
16.	diagram	state	volume	interest	zone	token																	signature	bundle	bottom	factorisation	range	chart
17.	mark	packet	menu	unique	cable	field																	credit	shelf	grade	description	exercise	entity
18.	array	stream	rank	paragraph	map	remote																	total	mode	shade	relation	period	sheet
19.	bool	write	archive	union	package	circuit																	currency	wallet	shape	role	summary	form
20.	line	colour	division	grid	merge	pool																	body	analysis	filter	selection	appendix	layer
21.	string	tail	register	average	flexible	resource																	tender	control	margin	offer	segment	band
22.	imaginary	size	frequency	maximum	solution	series																	standard	energy	bind	rate	constant	pair
23.	unit	slip	response	rational	signal	studio																	factory	testimonial	paint	view	test	caption
24.	time	angle	conversion	minimum	valve	exit																	strap	socket	important	tool	element	label
25.	instance	measurement	decode	approximate	virtual	logo																	drum	scrutiny	phase	documentation	material	title
26.	frame	handle	language	reference	enviornment	edit																	figure	protocol	lot	bookmark	cover	print
::.	set	structure	process	limit	application	box																	password	license	style	detail	pointer	format
